id,unit,name,start,end,agency,acres,cause,start_year,duration,map_date
SHU-7419,Shasta,East Fire,2001-08-09,2001-08-10,CDF,624,Elec. Power,2001,2,2000-08-09
BDU-6857,Mono,Assist Crater,2001-08-12,2001-08-15,USFS,5800,Lightning,2001,4,2000-08-12
NEU-14033,Placer/Tahoe NF,GAP,2001-08-12,2001-08-17,USFS,2462,Under Invest.,2001,6,2000-08-12
NEU-14053,Nevada Desert,Buzz,2001-08-12,2001-08-12,BLM,2206,Lightning,2001,1,2000-08-12
MVU-5576,Cleveland NF/MVU,Orosco,2001-08-14,2001-08-15,DF/USF,813,Under Invest,2001,2,2000-08-14
NEU-14446,Placer,Ponderosa,2001-08-17,2001-08-23,CDF,2780,Vehicle,2001,7,2000-08-17
MMU-14026,Mariposa/Tuolumne,Creek,2001-08-18,2001-08-24,CDF,11095,Arson,2001,7,2000-08-18
TCU- 6112,Calaveras,Leonard,2001-08-19,2001-08-25,CDF,5167,Equip. Use,2001,7,2000-08-19
FKU-10044,Sequoia NF/Fresno,Highway,2001-08-19,2001-08-29,USFS,4152,Arson,2001,11,2000-08-19
MMU-14176,Madera,North Fork,2001-08-20,2001-08-20,CDF,2930,Under Invest.,2001,1,2000-08-20
AEU-12745,El Dorado,Star,2001-08-25,2001-09-22,USFS,16761,Under Invest.,2001,29,2000-08-25
SHU-7984,Trinity,Oregon,2001-08-28,2001-08-31,CDF,1680,Undetermined,2001,4,2000-08-28
SHU-8086,Trinity,Hyampon,2001-08-31,2001-09-05,USFS,1065,Undetermined,2001,6,2000-08-31
TCU-6632,Calaveras,Darby,2001-09-05,2001-09-24,CDF,14280,Undetermined,2001,20,2000-09-05
BTU- 10696,Butte,Poe,2001-09-06,2001-09-12,CDF,8333,Elec. Power,2001,7,2000-09-06
KNF-3902,Siskiyou,Happy Camp Cmplx,2001-09-14,2001-10-10,USFS,8500,Lightning,2001,27,2000-09-14
BDU-8983,Angeles NF,Stables,2001-10-12,2001-10-15,USFS,6544,Under Invest.,2001,4,2000-10-12
BTU-12700,Butte,HWY 70,2001-10-24,2001-10-26,CDF,1711,Arson,2001,3,2000-10-24
TCU-8044,Calaveras,Moore,2001-10-27,2001-10-31,CDF,580,Undetermined,2001,5,2000-10-27
MMU-18913,Merced,Crane,2001-11-02,2001-11-02,LOCAL,330,Undetermined,2001,1,2000-11-02
MVU-8827,San Diego,Bell,2001-12-08,2001-12-11,CDF,1204,Undetermined,2001,4,2000-12-08
RRU-10403,Riverside,Green (State),2002-02-09,2002-02-13,CDF,2400,Elec. Power,2002,5,2000-02-09
MVU-1024,San Diego,Gavilan Fire,2002-02-10,2002-02-15,CDF,5763,VMP Burn,2002,6,2000-02-10
BDU-1909,Inyo,Tecopa,2002-03-05,2002-03-05,BLM,300,n/a,2002,1,2000-03-05
MMU-4085,Madera,Nicholas,2002-03-16,2002-03-16,LOCAL,12000,Debris Burning,2002,1,2000-03-16
RRU-20299,Riverside,Cajalco,2002-03-17,2002-03-17,CDF,575,Undetermined,2002,1,2000-03-17
MVU-2043,San Diego,Aliso,2002-03-21,2002-03-22,MIL,2400,Under Invest.,2002,2,2000-03-21
BDU-2403,Inyo,Airport,2002-03-22,2002-03-24,CDF,846,Undetermined,2002,3,2000-03-22
MVU-2592,San Diego,Bell (Outside Origin),2002-04-13,2002-04-14,CDF,350,Undetermined,2002,2,2000-04-13
RRU-29527,Orange/RRU,Evening Fire,2002-04-21,2002-04-23,CC,657,PWF,2002,3,2000-04-21
HUU-26808,Del Norte,Kellogg,2002-04-28,2002-04-28,CDF,300,Vehicle,2002,1,2000-04-28
MMU-7167,Merced,Myers,2002-05-07,2002-05-07,CDF,320,Undetermined,2002,1,2000-05-07
MMU-7167,Merced,Myers,2002-05-07,2002-05-07,CDF,320,Undetermined,2002,1,2000-05-07
